synopsis-3,describes-4,version-7:recipient
<NULL>,cut-3,short-4:object
<NULL>,cut-3,Gonza-1:recipient
wife-8,berates-18,Kouroku-19:recipient
wife-8,runs-15,down-16:verb_complement
wife-8,runs-15,when-5:modifier
<NULL>,criticizing-9,Gonza-10:recipient
<NULL>,thank-6,Ashitaka-7:recipient
Smith-1,takes-2,moment-4:recipient
Lady_Eboshi-1,appears-2,<NULL>
Eboshi-1,invites-2,Gonza-3:recipient
Ashitaka-1,eats-2,<NULL>
<NULL>,see-11,<NULL>
<NULL>,invite-8,<NULL>
women-13,work-14,where-12:modifier
<NULL>,stop-5,<NULL>
<NULL>,leaving-6,<NULL>
women-1,heckle-2,men-4:recipient
men-8,explain-9,<NULL>
<NULL>,buying-14,contracts-16:recipient
<NULL>,buying-14,brothels-19:performer
Lady_Eboshi-10,freed-11,women-12:recipient
women-2,are-3,prostitutes-5:recipient
women-2,'re-3,workers-5:recipient
women-7,make-9,wives-11:recipient
women-7,make-9,hardly-8:modifier
god-8,ruled-11,once-10:modifier
god-8,ruled-11,forest-13:recipient
<NULL>,surrounding-14,Iron_Town-15:recipient
women-1,tell-2,<NULL>
men-6,attacked-20,often-19:modifier
men-6,attacked-20,men-21:recipient
god-1,became-2,enraged-3:object
men-6,attacked-20,often-19:modifier
men-6,attacked-20,men-21:recipient
men-6,cut-7,trees-8:recipient
men-6,cut-7,down-9:modifier
men-6,cut-7,when-4:modifier
Eboshi-8,shot-15,Nago-16:recipient
Eboshi-8,set-9,fire-10:recipient
Eboshi-8,set-9,forest-13:attachment
Eboshi-8,shot-15,Nago-16:recipient
Eboshi-2,came-3,When-1:modifier
arm-3,swells-4,anger-6:is_participant_in
god-8,realizes-9,<NULL>
anger-11,was-12,Nago-13:recipient
Lady_Eboshi-22,turned-24,demon-28:modified_to
Lady_Eboshi-22,turned-24,Nago-25:recipient
Nago-13,inflicted-15,wound-19:recipient
<NULL>,set-8,<NULL>
Ashitaka-1,finds-2,<NULL>
ball-25,killed-32,Nago-33:recipient
Gonza-1,shows-7,result-15:recipient
Gonza-1,shows-7,ball-25:recipient
Gonza-1,shows-7,wound-11:recipient
<NULL>,cursed-10,<NULL>
Gonza-1,removes-2,sleeve-5:recipient
Gonza-28,tells-29,Eboshi-30:recipient
Gonza-11,doing-13,Gonza-9:recipient
Gonza-11,doing-13,Iron_Town-15:is_participant_in
Eboshi-1,asks-8,Gonza-9:recipient
Eboshi-1,deny-4,responsibility-5:recipient
Eboshi-1,deny-4,not-3:negative
Gonza-1,repeats-2,<NULL>
hate-21,unclouded-19,<NULL>
Gonza-13,has-14,<NULL>
Gonza-8,left-9,<NULL>
Hiisama-4,told-5,what-3:recipient
Hiisama-4,told-5,Gonza-6:recipient
<NULL>,left-16,charge-18:is_participant_in
<NULL>,left-16,Gonza-14:recipient
Eboshi-2,laughs-3,this-5:site
Eboshi-7,agrees-8,<NULL>
Eboshi-1,takes-2,Ashitaka-3:recipient
Eboshi-1,takes-2,garden-7:attachment
Ashitaka-9,create-10,<NULL>
weapons-12,create-10,<NULL>
design-21,inspired-18,<NULL>
<NULL>,wrapped-5,bandages-7:is_participant_in
gun-9,use-16,<NULL>
Lady_Eboshi-1,asked-3,Ashitaka-4:recipient
models-7,kill-24,gods-25:recipient
models-7,are-14,<NULL>
models-7,kill-24,gods-25:recipient
models-7,kill-24,gods-25:recipient
<NULL>,piercing-17,armor-19:recipient
Eboshi-1,shows-2,Ashitaka-3:recipient
Eboshi-11,maintains-12,necessity-14:recipient
<NULL>,spreading-8,<NULL>
<NULL>,protecting-16,fort-18:recipient
Eboshi-11,maintains-12,necessity-14:recipient
objects-2,hate-9,<NULL>
Eboshi-3,apologizes-4,However-1:modifier
arm-14,tries-19,<NULL>
arm-14,draw-21,sword-24:recipient
Ashitaka-8,grows-9,mention-3:site
Ashitaka-8,grows-9,angry-10:object
arm-14,tries-19,<NULL>
arm-14,draw-21,sword-24:recipient
arm-14,springs-15,life-17:attachment
arm-8,keep-9,one-12:recipient
arm-8,keep-9,Only-1:dependent
arm-8,keep-9,can-4:modal_verb
arm-8,keep-9,check-14:is_participant_in
Eboshi-9,remains-10,calm-11:object
lepers-2,shrink-3,back-4:verb_complement
lepers-2,shrink-3,fear-6:is_participant_in
Eboshi-11,says-14,<NULL>
Ashitaka-13,says-14,<NULL>
hate-16,stop-19,would-17:modal_verb
hate-16,stop-19,there-20:modifier
hate-16,stop-19,not-18:negative
Eboshi-1,asks-2,<NULL>
arm-6,like-8,would-7:modal_verb
leper-3,asks-4,Ashitaka-5:recipient
<NULL>,sheltering-23,<NULL>
people-13,find-14,ways-15:recipient
people-13,find-14,still-12:modifier
life-3,is-8,<NULL>
people-13,find-14,ways-15:recipient
people-13,find-14,still-12:modifier
life-3,is-4,<NULL>
people-13,find-14,ways-15:recipient
people-13,find-14,still-12:modifier
leper-1,says-2,cursed-9:dependent
Lady_Eboshi-7,are-8,night-3:time
Ashitaka-5,are-8,night-3:time
people-30,cut-34,down-36:verb_complement
people-30,cut-34,people-35:recipient
people-30,cut-34,where-28:modifier
<NULL>,shooting-9,gods-12:site
Eboshi-19,says-20,clan-16:recipient
Lady_Eboshi-1,showcases-2,power-7:recipient
Eboshi-10,kill-11,Spirit-14:recipient
Ashitaka-3,help-9,<NULL>
Eboshi-1,asks-2,Ashitaka-3:recipient
Spirit-12,is-13,<NULL>
Eboshi-6,says-7,<NULL>
<NULL>,horrified-3,He-1:recipient
gods-19,be-21,beasts-23:recipient
land-2,be-15,<NULL>
land-2,be-4,<NULL>
Eboshi-20,done-22,what-19:recipient
Eboshi-20,done-22,forest-25:attachment
Eboshi-1,says-2,<NULL>
Lady_Eboshi-12,believes-13,<NULL>
<NULL>,said-7,blood-2:recipient
blood-14,cure-16,can-15:modal_verb
blood-14,cure-16,anything-17:recipient
Ashitaka-1,goes-2,forge-5:attachment
women-40,want-41,<NULL>
Toki-7,explains-8,<NULL>
men-30,know-31,men-32:recipient
Ashitaka-10,work-11,bellows-13:recipient
Ashitaka-10,work-11,days-15:destination
women-36,eat-38,can-37:modal_verb
place-33,eat-38,can-37:modal_verb
<NULL>,being-25,brothels-28:is_participant_in
Eboshi-1,offers-2,help-5:recipient
<NULL>,looking-13,down-14:verb_complement
<NULL>,looking-13,Iron_Town-16:site
San_Attacks_San-1,is-9,<NULL>
mask-5,run-8,hillside-11:recipient
mask-5,run-8,down-9:verb_complement
San-7,run-8,hillside-11:recipient
San-7,run-8,down-9:verb_complement
<NULL>,fired-22,Eboshi-24:site
<NULL>,dodging-20,<NULL>
San-7,makes-8,rooftops-18:destination/location
San-7,makes-8,San-9:recipient
Eboshi-3,meet-8,Eboshi-9:recipient
Eboshi-3,runs-6,<NULL>
Eboshi-3,presence-4,<NULL>
enemy-11,'s-12,enemy-15:recipient
enemy-6,tries-7,<NULL>
enemy-6,explain-9,<NULL>
Eboshi-2,attacks-3,enemy-4:recipient
building-11,houses-13,forge-15:recipient
enemy-1,follows-2,up-4:verb_complement
enemy-1,follows-2,Eboshi-3:recipient
enemy-1,follows-2,roof-7:prep_onto
Lady_Eboshi-1,calls-15,San-17:attachment
Lady_Eboshi-1,calls-15,San-17:attachment
Lady_Eboshi-1,come-19,down-20:verb_complement
<NULL>,wielding-10,guns-13:recipient
Lady_Eboshi-1,come-19,down-20:verb_complement
riflemen-5,backed-3,<NULL>
women-9,backed-3,<NULL>
wolves-15,killed-12,<NULL>
women-5,want-8,retribution-9:recipient
Eboshi-1,says-2,<NULL>
Eboshi-15,ignores-16,down-20:modifier
Eboshi-15,ignores-16,charges-19:recipient
Eboshi-15,ignores-16,enemy-17:recipient
Ashitaka-1,tries-2,<NULL>
blast-2,sends-6,Eboshi-7:recipient
<NULL>,tumbling-8,ground-11:attachment
women-15,fire-16,shots-17:recipient
women-15,fire-16,where-12:modifier
women-15,fire-16,Eboshi-19:site
blows-2,renders-7,<NULL>
blows-2,Eboshi-3,off-5:verb_complement
blows-2,Eboshi-3,mask-4:recipient
Ashitaka-5,holds-6,Gonza-8:recipient
Ashitaka-5,holds-6,group-11:recipient
Ashitaka-5,holds-6,off-7:verb_complement
<NULL>,throwing-22,beam-23:recipient
<NULL>,throwing-22,Ashitaka-25:site
