synopsis-3,describes-4,version-7:recipient
Walker-22,seems-23,<NULL>
Walker-22,has-31,couple-33:recipient
Jigo-27,going-29,where-26:modifier
Jigo-15,go-17,can-16:modal_verb
Jigo-15,go-17,fast-13:modifier
Town-4,'s-5,<NULL>
<NULL>,gunsmiths-21,ishibiya-25:recipient
women-2,keeping-8,eye-10:recipient
women-2,guarding-4,walls-6:recipient
women-7,see-8,<NULL>
<NULL>,coming-22,<NULL>
mountain-1,destroys-2,encampments-6:recipient
<NULL>,coming-9,<NULL>
mountain-1,keeps-8,<NULL>
San-3,arrive-9,<NULL>
brothers-8,arrive-9,<NULL>
<NULL>,escape-14,ooze-16:recipient
lepers-7,get-9,lake-12:is_participant_in
women-4,get-9,lake-12:is_participant_in
Ashitaka-1,tells-2,lepers-7:recipient
Ashitaka-1,tells-2,women-4:recipient
wolves-7,go-8,<NULL>
Ashitaka-3,go-8,<NULL>
<NULL>,returned-12,head-10:recipient
<NULL>,returned-12,Walker-16:attachment
Ashitaka-6,demands-7,<NULL>
Ashitaka-2,catch-3,When-1:modifier
Ashitaka-2,catch-3,Jigo-4:recipient
Jigo-1,pleads-2,<NULL>
Walker-11,disappear-13,will-12:modal_verb
Jigo-6,says-7,<NULL>
Walker-11,disappear-13,will-12:modal_verb
sun-3,rises-4,When-1:modifier
<NULL>,carrying-10,head-12:recipient
<NULL>,telling-6,porters-9:recipient
<NULL>,run-14,<NULL>
Jigo-2,attacks-3,Ashitaka-4:recipient
Jigo-2,attacks-3,Then-1:modifier
San-1,goes-2,<NULL>
ooze-9,heads-10,porters-11:recipient
ooze-9,heads-10,off-12:verb_complement
porters-2,go-3,uphill-4:modifier
<NULL>,leaving-8,behind-11:verb_complement
<NULL>,leaving-8,box-15:is_participant_in
<NULL>,leaving-8,head-10:recipient
porters-1,run-5,away-6:verb_complement
<NULL>,leaving-8,behind-11:verb_complement
<NULL>,leaving-8,box-15:is_participant_in
<NULL>,leaving-8,head-10:recipient
porters-1,give-2,up-3:verb_complement
tide-28,surrounded-24,<NULL>
<NULL>,rising-27,<NULL>
Jigo-1,tumbles-6,slope-9:recipient
tide-28,surrounded-24,<NULL>
<NULL>,rising-27,<NULL>
Jigo-1,grabs-2,box-4:recipient
Jigo-1,is-2,<NULL>
Jigo-13,opens-14,box-16:recipient
<NULL>,'s-7,<NULL>
Jigo-10,do-12,can-11:modal_verb
San-15,hold-16,high-18:object
San-15,hold-16,air-21:is_participant_in
Jigo-13,hold-16,high-18:object
Jigo-13,hold-16,air-21:is_participant_in
Ashitaka-8,takes-9,head-11:recipient
San-15,hold-16,high-18:object
San-15,hold-16,air-21:is_participant_in
Jigo-13,hold-16,high-18:object
Jigo-13,hold-16,air-21:is_participant_in
<NULL>,return-5,box-6:recipient
<NULL>,return-5,must-4:modal_verb
Ashitaka-1,calls-2,Walker-6:with_respect_to
<NULL>,made-16,Forest_Spirit-14:recipient
<NULL>,made-16,whole-17:recipient
<NULL>,made-16,again-18:modifier
neck-5,grows-6,down-7:verb_complement
Walker-12,resume-23,appearance-27:recipient
Walker-12,straighten-13,up-14:modifier
Walker-12,straighten-13,place-21:is_participant_in
refugees-8,watch-9,<NULL>
sun-15,falls-20,<NULL>
sun-15,collapses-18,when-11:modifier
Walker-3,stands-4,<NULL>
<NULL>,disintegrating-24,<NULL>
blows-4,remains-7,away-10:modifier
<NULL>,sprouting-22,plants-23:recipient
hillsides-7,begin-16,Slowly-1:modifier
lepers-15,healed-17,<NULL>
lepers-8,look-9,down-10:modifier
Kouroku-1,looks-2,on-3:verb_complement
Kouroku-1,looks-2,amazement-5:is_participant_in
Yakul-1,finds-12,grass-19:is_participant_in
Yakul-1,arrived-4,<NULL>
rock-4,is-2,Nearby-1:modifier
<NULL>,marooned-8,where-5:modifier
<NULL>,marooned-8,ooze-12:is_participant_in
<NULL>,marooned-8,men-6:recipient
box-8,are-9,there-11:modifier
box-8,are-9,still-10:modifier
brothers-4,are-9,there-11:modifier
brothers-4,are-9,still-10:modifier
Ashitaka-3,wakes-6,San-7:recipient
Yakul-1,wakes-2,Ashitaka-3:recipient
Forest_Spirit-5,is-6,<NULL>
Ashitaka-8,die-21,can-19:modal_verb
Ashitaka-8,die-21,not-20:negative
Ashitaka-8,replies-9,<NULL>
Forest_Spirit-12,is-13,life-14:recipient
Ashitaka-8,die-21,can-19:modal_verb
Ashitaka-8,die-21,not-20:negative
San-1,says-2,<NULL>
traces-26,remain-27,only-23:modifier
<NULL>,gone-22,notices-2:recipient
<NULL>,gone-22,mostly-21:modifier
she-3,cares-4,Ashitaka-6:with_respect_to
she-3,stay-10,not-9:negative
she-3,stay-10,ca-8:modal_verb
San-1,says-2,<NULL>
Ashitaka-14,rebuild-15,Town-17:recipient
I-11,help-13,will-12:modal_verb
you-3,live-5,will-4:modal_verb
you-3,live-5,forest-8:is_participant_in
I-11,help-13,will-12:modal_verb
Ashitaka-1,says-2,<NULL>
his-1,promises-2,<NULL>
Lady_Eboshi-1,is-11,<NULL>
<NULL>,recovering-3,loss-6:performer
Eboshi-1,sends-2,Ashitaka-4:with_respect_to
<NULL>,perched-3,above-8:dependent
Jigo-1,laughs-16,himself-18:attachment
I-6,give-7,up-8:verb_complement
Jigo-1,says-2,<NULL>
You-1,win-4,ca-2:modal_verb
You-1,win-4,not-3:negative
You-1,win-4,fools-6:object
<NULL>,are-14,<NULL>
trees-13,growing-15,<NULL>
kodama-7,walks-3,<NULL>
