Moss-1,takes-2,back-5:verb_complement
Moss-1,takes-2,cab-4:recipient
Moss-1,takes-2,motel-9:attachment
Moss-22,directs-23,driver-25:recipient
Chigurh-1,calls-3,meanwhile-2:modifier
Chigurh-1,calls-3,numbers-4:recipient
<NULL>,anticipate-8,<NULL>
<NULL>,trying-6,<NULL>
<NULL>,headed-12,Moss-10:recipient
<NULL>,headed-12,where-9:modifier
Chigurh-1,begins-3,then-2:modifier
<NULL>,anticipate-8,<NULL>
<NULL>,trying-6,<NULL>
<NULL>,headed-12,Moss-10:recipient
<NULL>,headed-12,where-9:modifier
<NULL>,driving-4,<NULL>
Moss-4,purchases-5,tape-14:recipient
Moss-4,purchases-5,tent-7:recipient
Moss-4,purchases-5,ammo-25:recipient
Moss-4,purchases-5,morning-3:time
Moss-4,purchases-5,shotgun-23:recipient
Chigurh-10,saws-11,shotgun-14:recipient
Chigurh-10,saws-11,where-9:modifier
Chigurh-10,saws-11,off-12:verb_complement
Chigurh-1,returns-2,room-7:attachment
Chigurh-1,returns-2,hotel-7:attachment
Chigurh-1,rents-9,immediately-13:modifier
Chigurh-1,rents-9,room-12:recipient
Chigurh-1,rents-9,room-18:support
Chigurh-23,retrieve-26,case-29:recipient
Chigurh-23,uses-24,<NULL>
<NULL>,fashion-19,hook-21:recipient
Chigurh-6,uses-7,tape-13:recipient
Chigurh-6,uses-7,poles-10:recipient
Chigurh-6,uses-7,hangers-17:recipient
Chigurh-6,uses-7,room-4:is_participant_in
Chigurh-1,driving-3,<NULL>
device-10,goes-11,when-7:modifier
device-10,goes-11,off-12:verb_complement
Chigurh-1,finds-2,room-27:recipient
Chigurh-1,finds-2,motel-4:recipient
room-17,coming-21,motel-11:performer
<NULL>,beeping-13,<NULL>
Chigurh-1,takes-6,boots-10:recipient
Chigurh-1,takes-6,off-7:verb_complement
Chigurh-1,rents-2,room-4:recipient
Chigurh-12,walk-15,quietly-14:modifier
Chigurh-12,walk-15,can-13:modal_verb
Chigurh-12,walk-15,up-16:verb_complement
Chigurh-12,walk-15,room-19:attachment
signal-22,coming-24,where-20:modifier
Chigurh-1,uses-2,pistol-7:recipient
Chigurh-1,kills-9,them-10:recipient
Chigurh-1,finds-2,Mexicans-4:recipient
Chigurh-1,finds-2,room-7:is_participant_in
Mexicans-2,gunfire-4,Moss-6:recipient
<NULL>,noticing-10,finally-9:modifier
<NULL>,noticing-10,duct-13:recipient
Chigurh-1,searches-2,case-7:destination
Chigurh-1,searches-2,room-4:recipient
Chigurh-1,opens-2,room-3:recipient
Moss-1,hitchhikes-10,area-14:object
Moss-1,escapes-2,dark-5:modified_to
Mathew_Greer-3,picks-5,up-7:verb_complement
Mathew_Greer-3,picks-5,Moss-6:recipient
Mathew_Greer-3,tells-8,<NULL>
Greer_Greer-9,hitchhiking-13,not-11:negative
Greer_Greer-9,hitchhiking-13,should-10:modal_verb
Carson_Wells_Woody_Harrelson-17,arrives-18,office-25:is_participant_in
hunter-15,named-16,building-9:is_participant_in
hunter-15,named-16,day-3:time
<NULL>,upset-4,businessman-2:recipient
<NULL>,upset-4,killings-8:location_of
Chigurh-11,perpetrated-9,<NULL>
businessman-1,wants-2,Wells-3:recipient
Harrelson-6,know-15,would-14:modal_verb
Harrelson-6,know-15,sight-18:means
Harrelson-6,know-15,Harrelson-16:recipient
Wells-1,tells-2,businessman-4:recipient
<NULL>,Harrelson-11,killer-14:recipient
Wells-1,calls-10,<NULL>
Wells-1,compares-3,also-2:modifier
Wells-1,compares-3,Chigurh-4:recipient
Wells-1,compares-3,plague-8:attachment
Wells-4,retrieve-13,money-15:recipient
Wells-4,control-6,situation-8:recipient
Wells-4,retrieve-13,money-15:recipient
businessman-2,hires-3,<NULL>
Moss-6,rents-7,room-9:recipient
Moss-6,rents-7,town-4:is_participant_in
Chigurh-13,tracked-14,motel-20:attachment
Chigurh-13,tracked-14,how-12:modifier
Chigurh-13,tracked-14,Chigurh-15:recipient
Chigurh-13,tracked-14,down-16:verb_complement
Moss-5,figure-10,out-11:verb_complement
Moss-5,trying-8,apparently-7:modifier
<NULL>,sleep-3,<NULL>
Chigurh-10,using-13,<NULL>
Chigurh-10,find-15,Chigurh-16:recipient
Moss-1,finds-6,transponder-8:recipient
Moss-1,searches-2,case-4:recipient
Moss-1,calls-6,clerk-8:recipient
clerk-8,checked-11,Moss-12:recipient
Moss-1,hears-2,noises-4:recipient
Miles-20,answer-23,not-22:negative
Marc_Miles-3,told-5,<NULL>
Miles-1,sees-2,shadow-4:recipient
lights-16,go-17,then-13:modifier
lights-16,go-17,dark-18:object
Moss-13,fires-16,door-22:modified_to
Moss-13,fires-16,shotgun-19:recipient
Chigurh-1,shoots-2,out-3:verb_complement
Chigurh-1,shoots-2,lock-5:recipient
Moss-1,follows-12,case-13:recipient
Moss-1,drops-3,then-2:modifier
Moss-1,drops-3,case-5:recipient
Chigurh-1,misses-9,<NULL>
Chigurh-1,shoots-2,Chigurh-4:site
Chigurh-1,shoots-2,window-7:raw_material
lock-10,wounded-3,Moss-1:recipient
lock-10,wounded-3,side-6:is_participant_in
Chigurh-19,kills-20,driver-22:recipient
driver-6,Luce_Rains-7,<NULL>
Chigurh-19,kills-20,driver-22:recipient
driver-6,tells-9,Moss-10:recipient
Chigurh-19,kills-20,driver-22:recipient
Moss-1,stops-2,<NULL>
<NULL>,crashing-12,vehicle-15:modified_to
<NULL>,crashing-12,vehicle-15:modified_to
Moss-1,drives-5,truck-7:recipient
Moss-1,ducks-2,down-3:verb_complement
whoever-14,following-16,Moss-17:recipient
hides-2,watching-8,window-12:is_participant_in
wounds-4,Chigurh-5,<NULL>
shoots-2,Chigurh-5,<NULL>
Moss-27,tosses-29,brush-35:modified_to
Moss-27,tosses-29,case-32:recipient
Moss-27,tosses-29,also-28:modifier
Moss-4,drives-5,pickup-7:recipient
Moss-4,drives-5,Rio_Grande-11:attachment
<NULL>,cross-34,Mexico-37:modified_to
<NULL>,cross-34,over-35:verb_complement
Moss-1,covers-2,shirt-6:recipient
Moss-1,covers-2,unconcerned-42:dependent
<NULL>,halfsleeping-25,<NULL>
members-8,wakened-6,morning-3:is_participant_in
members-8,wakened-6,Moss-4:recipient
Moss-13,pays-14,members-8:recipient
<NULL>,deteriorating-17,apparently-16:modifier
Jones-9,saw-10,what-8:recipient
Jones-9,saw-10,desert-13:is_participant_in
<NULL>,deteriorating-17,apparently-16:modifier
Bell-2,continues-3,<NULL>
Jones-1,asks-9,Jean-10:recipient
Jones-1,goes-2,<NULL>
Jones-4,tells-5,absentmindedly-2:dependent
Chigurh-6,steals-27,supplies-29:recipient
Chigurh-6,steals-27,nonchalantly-26:modifier
Chigurh-6,sets-17,car-19:recipient
Chigurh-6,sets-17,town-4:is_participant_in
Chigurh-6,steals-27,supplies-29:recipient
Chigurh-6,steals-27,nonchalantly-26:modifier
round-15,wounded-8,thigh-11:is_participant_in
Chigurh-6,treats-13,wound-16:recipient
Chigurh-6,cuts-7,pants-11:away_from_location
Chigurh-6,cuts-7,room-4:is_participant_in
Carson-1,visits-2,Moss-3:recipient
Carson-1,suggests-9,<NULL>
Harrelson-11,hand-13,just-12:modifier
Harrelson-10,staying-12,hotel-9:is_participant_in
Carson-4,tells-5,him-6:recipient
Moss-1,refuses-2,<NULL>
Carson-9,sees-10,bridge-16:raw_material
Carson-9,sees-10,case-13:recipient
Moss-12,staying-14,one-9:site
Chigurh-20,confronted-18,Carson-16:recipient
Chigurh-20,confronted-18,Back-1:modifier
Carson-1,tries-2,<NULL>
phone-16,rings-17,when-14:modifier
Chigurh-19,kills-20,Chigurh-21:recipient
Chigurh-8,tells-9,Chigurh-10:recipient
Chigurh-13,brings-14,Chigurh-15:recipient
Chigurh-13,brings-14,money-17:recipient
Chigurh-19,kill-22,wife-25:recipient
Chigurh-19,kill-22,not-21:negative
Chigurh-19,kill-22,wo-20:modal_verb
<NULL>,coming-16,<NULL>
<NULL>,coming-16,<NULL>
Moss-6,knows-7,<NULL>
<NULL>,coming-16,<NULL>
Chigurh-1,lets-2,<NULL>
Chigurh-24,going-26,<NULL>
<NULL>,coming-16,<NULL>
Moss-3,know-4,<NULL>
Moss-6,hangs-8,up-9:verb_complement
Moss-6,hangs-8,then-7:modifier
Moss-1,tells-2,<NULL>
Chigurh_Moss-3,kill-5,will-4:modal_verb
Moss-1,retrieves-6,case-8:recipient
Moss-1,leaves-2,hospital-4:recipient
Moss-1,tells-11,Jean-12:recipient
Moss-1,calls-2,Carla_Jean-3:recipient
Moss-1,calls-2,mother-6:site
Chigurh-1,goes-3,meanwhile-2:modifier
Chigurh-1,goes-3,Dallas-5:attachment
truck-3,breaks-4,down-5:verb_complement
Chris_Warner-10,stops-18,<NULL>
Chigurh-1,asks-2,<NULL>
Chigurh-8,asks-9,Chigurh-10:recipient
farmer-2,names-3,Paso-5:recipient
<NULL>,removed-17,can-15:modal_verb
<NULL>,removed-17,cages-14:recipient
<NULL>,removed-17,truck-20:compared_to
Chigurh-3,washing-5,later-2:modifier
Chigurh-3,washing-5,back-11:away_from_location
Chigurh-3,washing-5,feathers-8:recipient
Mexicans-2,watching-6,Carla_Jean-7:recipient
Mexicans-2,follow-10,Beth_Grant-15:recipient
mother-15,going-19,El_Paso-21:attachment
Carla_Jean-17,going-19,El_Paso-21:attachment
mother-7,tells-13,<NULL>
mother-15,going-19,El_Paso-21:attachment
Carla_Jean-17,going-19,El_Paso-21:attachment
<NULL>,helps-5,<NULL>
Moss-12,staying-14,where-11:modifier
Moss-12,staying-14,El_Paso-16:is_participant_in
Carla_Jean-5,tells-9,Jones-10:recipient
Carla_Jean-5,calls-6,Sheriff_Bell-7:recipient
Carla_Jean-5,calls-6,airport-3:is_participant_in
Ana_Reeder-7,flirts-12,hotel-3:site
pool-11,sunbathing-8,<NULL>
Moss-11,says-12,<NULL>
Reeder-1,invites-2,Moss-3:recipient
beer-22,declines-27,offer-29:recipient
Moss-14,married-16,<NULL>
Moss-19,knows-20,<NULL>
beer-22,leads-23,what-21:attachment
Jones-11,sees-16,truck-19:recipient
Jones-11,hears-12,gunfire-14:recipient
Jones-11,hears-12,when-10:modifier
Bell-2,driving-4,up-5:verb_complement
Bell-2,driving-4,motel-9:attachment
<NULL>,speeding-20,off-21:verb_complement
woman-23,floating-25,where-21:modifier
woman-23,floating-25,dead-26:object
Sheriff_Bell-5,sees-6,number-9:recipient
Sheriff_Bell-5,sees-6,motel-3:site
Sheriff_Bell-5,sees-6,pool-19:time_between
Jones-1,sees-3,then-2:modifier
case-3,missing-5,<NULL>
woman-10,arrives-11,when-9:modifier
woman-10,arrives-11,Carla_Jean-8:time
<NULL>,declining-17,<NULL>
Bell-6,bemoan-15,morals-18:recipient
returns-5,misses-11,Afterward-1:modifier
Chigurh-15,searching-19,room-21:recipient
Bell-2,visits-3,Ellis_Barry_Corbin-8:recipient
Bell-2,visits-3,uncle-6:recipient
Jones-22,seen-24,<NULL>
grandfather-15,died-17,shot-18:recipient
grandfather-15,died-17,how-12:modifier
grandfather-15,died-17,outlaws-21:time_between
Corbin-23,bled-24,death-26:attachment
Ellis-1,tells-2,vain-6:dependent
Ellis-1,relates-8,story-10:recipient
outlaws-39,watched-40,<NULL>
Carla_Jean-5,buried-10,mother-12:recipient
Carla_Jean-5,buried-10,just-9:modifier
Chigurh-3,visits-4,Carla_Jean-5:recipient
Chigurh-3,visits-4,Meanwhile-1:modifier
Jean-1,understands-2,<NULL>
Chigurh-4,finds-9,still-8:modifier
Carla_Jean-6,refuses-7,<NULL>
Chigurh-1,flips-2,coin-4:recipient
Carla_Jean-1,dismisses-2,game-5:recipient
one-12,decides-14,<NULL>
<NULL>,insisting-7,<NULL>
boys-8,ride-9,<NULL>
we-5,see-6,exchange-3:prep_during
Chigurh-1,stops-6,<NULL>
Chigurh-1,check-8,boots-11:recipient
Chigurh-1,check-8,blood-15:destination
