plane-30,crashes-32,tunnel-35:modified_to
<NULL>,flying-49,path-52:modified_to
father-15,shoots-16,plane-21:away_from_location
father-15,shoots-16,when-12:modifier
father-15,shoots-16,tail-18:recipient
Indy-19,learn-20,where-18:modifier
Sallah-16,Reaching-1,area-4:recipient
agents-44,captured-41,Marcus-22:recipient
Indy-25,given-27,Indy-34:compared_to
Indy-25,given-27,map-29:recipient
Indy-25,given-27,Marcus-22:recipient
<NULL>,leading-33,<NULL>
<NULL>,taken-46,Marcus-22:recipient
<NULL>,taken-46,Donovan-48:attachment
Henry-10,see-14,<NULL>
Sallah-13,see-14,<NULL>
Indy-8,see-14,<NULL>
company-20,escorted-17,group-15:recipient
Indy-10,ambush-13,convoy-15:recipient
<NULL>,try-22,Marcus-25:recipient
<NULL>,rescue-24,<NULL>
guerrillas-3,led-4,When-1:modifier
guerrillas-3,led-4,group-7:time_between
Nazis-33,seized-30,<NULL>
Henry-17,uses-18,cover-20:recipient
<NULL>,use-32,then-31:modifier
<NULL>,use-32,tank-34:recipient
<NULL>,blast-36,convoy-38:recipient
<NULL>,killing-28,<NULL>
<NULL>,use-32,then-31:modifier
<NULL>,use-32,tank-34:recipient
<NULL>,blast-36,convoy-38:recipient
<NULL>,succeed-26,soldiers-29:is_participant_in
<NULL>,use-32,then-31:modifier
<NULL>,use-32,tank-34:recipient
<NULL>,blast-36,convoy-38:recipient
Marcus-11,force-25,<NULL>
<NULL>,use-32,then-31:modifier
<NULL>,use-32,tank-34:recipient
<NULL>,blast-36,convoy-38:recipient
Indy-1,pursues-2,<NULL>
<NULL>,use-32,then-31:modifier
<NULL>,use-32,tank-34:recipient
<NULL>,blast-36,convoy-38:recipient
<NULL>,killing-28,<NULL>
<NULL>,use-32,then-31:modifier
<NULL>,use-32,tank-34:recipient
<NULL>,blast-36,convoy-38:recipient
<NULL>,succeed-26,soldiers-29:is_participant_in
<NULL>,use-32,then-31:modifier
<NULL>,use-32,tank-34:recipient
<NULL>,blast-36,convoy-38:recipient
Marcus-11,force-25,<NULL>
<NULL>,use-32,then-31:modifier
<NULL>,use-32,tank-34:recipient
<NULL>,blast-36,convoy-38:recipient
fight-8,ensues-9,<NULL>
tank-4,ensues-9,<NULL>
tank-9,drives-10,cliff-14:recipient
tank-9,drives-10,off-11:verb_complement
Indy-1,rescues-2,<NULL>
<NULL>,escaping-18,barely-17:modifier
<NULL>,remaining-9,<NULL>
men-3,track-5,down-6:verb_complement
men-3,track-5,group-10:recipient
men-3,track-5,soon-4:modifier
<NULL>,seized-21,Indy-15:recipient
<NULL>,seized-21,when-14:modifier
<NULL>,seized-21,pals-19:recipient
Donovan-23,sees-24,Indy-25:recipient
traps-2,killed-6,already-5:modifier
<NULL>,save-25,life-28:recipient
<NULL>,leaving-13,power-16:recipient
Donovan-9,shoots-10,Henry-11:recipient
<NULL>,save-25,life-28:recipient
<NULL>,leaving-13,power-16:recipient
<NULL>,force-2,Indy-3:recipient
<NULL>,avoid-11,traps-14:recipient
<NULL>,avoid-11,how-9:modifier
<NULL>,deducing-8,<NULL>
pathway-6,enters-3,Indy-1:modifier
pathway-6,enters-3,thus-2:modifier
Donovan-1,choose-10,ones-17:raw_material
Donovan-1,choose-10,grail-13:recipient
Donovan-1,choose-10,must-9:modal_verb
<NULL>,reaching-4,chamber-7:recipient
Donovan-1,choose-10,ones-17:raw_material
Donovan-1,choose-10,grail-13:recipient
Donovan-1,choose-10,must-9:modal_verb
Donovan-1,succeeds-2,<NULL>
Elsa-12,chooses-13,cup-15:recipient
Donovan-3,enter-6,However-1:modifier
Elsa-5,enter-6,However-1:modifier
<NULL>,drinking-16,grail-20:performer
Donovan-10,ages-12,ultimately-11:modifier
Donovan-10,ages-12,death-14:attachment
Schneider-1,knows-2,<NULL>
<NULL>,heal-27,wound-30:recipient
<NULL>,uses-24,<NULL>
<NULL>,warned-20,Indy-1:recipient
<NULL>,heal-27,wound-30:recipient
<NULL>,heal-27,wound-30:recipient
<NULL>,uses-24,<NULL>
<NULL>,proving-11,<NULL>
<NULL>,uses-24,<NULL>
Indy-1,picks-3,then-2:modifier
Indy-1,picks-3,drinks-8:recipient
Indy-1,picks-3,one-10:raw_material
<NULL>,settled-3,<NULL>
Elsa-1,hits-2,ground-4:recipient
Elsa-1,hits-2,fissure-12:modified_to
Elsa-1,hits-2,rolls-8:recipient
Indy-11,saved-9,Elsa-1:recipient
Indy-11,saved-9,moment-15:site
Elsa-1,falls-3,herself-5:is_participant_in
Elsa-1,falls-3,almost-2:modifier
<NULL>,reach-20,<NULL>
<NULL>,reach-20,<NULL>
<NULL>,try-18,resting-23:recipient
<NULL>,try-18,Schneider-25:prep_below
<NULL>,reach-20,<NULL>
Elsa-1,pulls-11,<NULL>
<NULL>,letting-5,up-9:verb_complement
<NULL>,letting-5,Schneider-8:recipient
<NULL>,give-19,hands-23:recipient
<NULL>,give-19,him-20:recipient
Schneider-1,touch-4,can-2:modal_verb
Schneider-1,touch-4,almost-3:modifier
him-1,maintain-4,not-3:negative
him-1,maintain-4,can-2:modal_verb
him-1,maintain-4,grip-7:recipient
Elsa-18,grasp-20,cup-22:recipient
Elsa-18,grasp-20,can-19:modal_verb
hand-25,slips-26,glove-32:object
Elsa-1,falls-2,death-5:attachment
<NULL>,escape-19,ultimately-18:modifier
<NULL>,escape-19,temple-21:recipient
Henry-10,gets-11,<NULL>
Indy-1,tries-2,<NULL>
calls-1,asks-3,<NULL>
Grail-5,means-6,what-4:recipient
Indy-12,detests-14,<NULL>
<NULL>,tells-1,moniker-10:recipient
<NULL>,tells-1,Henry_Jones-6:recipient
Sr-2,reveals-4,also-3:modifier
Sallah-1,finds-2,<NULL>
